"","colnames.nutrients_1day.","V2"
"1","SEQN","Respondent sequence number"
"2","WTDRD1","Dietary day one sample weight"
"3","WTDR2D","Dietary two-day sample weight"
"4","DR1DRSTZ","Dietary recall status"
"5","DR1EXMER","Interviewer ID code"
"6","DRABF","Breast-fed infant (either day)"
"7","DRDINT","Number of days of intake"
"8","DR1DBIH","# of days b/w intake and HH interview"
"9","DR1DAY","Intake day of the week"
"10","DR1LANG","Language respondent used mostly"
"11","DR1MRESP","Main respondent for this interview"
"12","DR1HELP","Helped in responding for this interview"
"13","DBQ095Z","Type of table salt used"
"14","DBD100","How often add salt to food at table"
"15","DRQSPREP","Salt used in preparation?"
"16","DR1STY","Salt used at table yesterday?"
"17","DR1SKY","Type of salt used yesterday"
"18","DRQSDIET","On special diet?"
"19","DRQSDT1","Weight loss/Low calorie diet"
"20","DRQSDT2","Low fat/Low cholesterol diet"
"21","DRQSDT3","Low salt/Low sodium diet"
"22","DRQSDT4","Sugar free/Low sugar diet"
"23","DRQSDT5","Low fiber diet"
"24","DRQSDT6","High fiber diet"
"25","DRQSDT7","Diabetic diet"
"26","DRQSDT8","Weight gain/Muscle building diet"
"27","DRQSDT9","Low carbohydrate diet"
"28","DRQSDT10","High protein diet"
"29","DRQSDT11","Gluten-free/Celiac diet"
"30","DRQSDT12","Renal/Kidney diet"
"31","DRQSDT91","Other special diet"
"32","DR1TNUMF","Number of foods/beverages reported"
"33","DR1TKCAL","Energy (kcal)"
"34","DR1TPROT","Protein (gm)"
"35","DR1TCARB","Carbohydrate (gm)"
"36","DR1TSUGR","Total sugars (gm)"
"37","DR1TFIBE","Dietary fiber (gm)"
"38","DR1TTFAT","Total fat (gm)"
"39","DR1TSFAT","Total saturated fatty acids (gm)"
"40","DR1TMFAT","Total monounsaturated fatty acids (gm)"
"41","DR1TPFAT","Total polyunsaturated fatty acids (gm)"
"42","DR1TCHOL","Cholesterol (mg)"
"43","DR1TATOC","Vitamin E as alpha-tocopherol (mg)"
"44","DR1TATOA","Added alpha-tocopherol (Vitamin E) (mg)"
"45","DR1TRET","Retinol (mcg)"
