"","colnames.supplements_2day.","V2"
"1","SEQN","Respondent sequence number"
"2","WTDRD1","Dietary day one sample weight"
"3","WTDR2D","Dietary two-day sample weight"
"4","DR2DRSTZ","Dietary recall status"
"5","DR2EXMER","Interviewer ID code"
"6","DRDINT","Number of days of intake"
"7","DR2DBIH","# of days b/w intake and HH interview"
"8","DR2DAY","Intake day of the week"
"9","DR2LANG","Language respondent used mostly"
"10","DR2MRESP","Main respondent for this interview"
"11","DR2HELP","Helped in responding for this interview"
"12","DS2DSCNT","Total # of Dietary Supplements Taken"
"13","DS2DS","Any Dietary Supplements Taken?"
"14","DS2ANCNT","Total # of Antacids Taken"
"15","DS2AN","Any Antacids Taken?"
"16","DS2TKCAL","Energy (kcal)"
"17","DS2TPROT","Protein (gm)"
"18","DS2TCARB","Carbohydrate (gm)"
"19","DS2TSUGR","Total sugars (gm)"
"20","DS2TFIBE","Dietary fiber (gm)"
"21","DS2TTFAT","Total fat (gm)"
"22","DS2TSFAT","Total saturated fatty acids (gm)"
"23","DS2TMFAT","Total monounsaturated fatty acids (gm)"
"24","DS2TPFAT","Total polyunsaturated fatty acids (gm)"
"25","DS2TCHOL","Cholesterol (mg)"
"26","DS2TLYCO","Lycopene (mcg)"
"27","DS2TLZ","Lutein + zeaxanthin (mcg)"
"28","DS2TVB1","Thiamin (Vitamin B1) (mg)"
"29","DS2TVB2","Riboflavin (Vitamin B2) (mg)"
"30","DS2TNIAC","Niacin (mg)"
"31","DS2TVB6","Vitamin B6 (mg)"
"32","DS2TVB12","Vitamin B12 (mcg)"
"33","DS2TFA","Folic acid (mcg)"
"34","DS2TFDFE","Folate, DFE (mcg)"
"35","DS2TCHL","Total choline (mg)"
"36","DS2TVC","Vitamin C (mg)"
"37","DS2TVK","Vitamin K (mcg)"
"38","DS2TVD","Vitamin D (D2 + D3) (mcg)"
"39","DS2TCALC","Calcium (mg)"
"40","DS2TPHOS","Phosphorus (mg)"
"41","DS2TMAGN","Magnesium (mg)"
"42","DS2TIRON","Iron (mg)"
"43","DS2TZINC","Zinc (mg)"
"44","DS2TCOPP","Copper (mg)"
"45","DS2TSODI","Sodium (mg)"
"46","DS2TPOTA","Potassium (mg)"
"47","DS2TSELE","Selenium (mcg)"
"48","DS2TCAFF","Caffeine (mg)"
"49","DS2TIODI","Iodine (mcg)"
