"","colnames.food_1day.","V2"
"1","SEQN","Respondent sequence number"
"2","WTDRD1","Dietary day one sample weight"
"3","WTDR2D","Dietary two-day sample weight"
"4","DR1ILINE","Food/Individual component number"
"5","DR1DRSTZ","Dietary recall status"
"6","DR1EXMER","Interviewer ID code"
"7","DRABF","Breast-fed infant (either day)"
"8","DRDINT","Number of days of intake"
"9","DR1DBIH","# of days b/w intake and HH interview"
"10","DR1DAY","Intake day of the week"
"11","DR1LANG","Language respondent used mostly"
"12","DR1CCMNM","Combination food number"
"13","DR1CCMTX","Combination food type"
"14","DR1.020","Time of eating occasion (HH:MM)"
"15","DR1.030Z","Name of eating occasion"
"16","DR1FS","Source of food"
"17","DR1.040Z","Did you eat this meal at home?"
"18","DR1IFDCD","USDA food code"
"19","DR1IGRMS","Grams"
"20","DR1IKCAL","Energy (kcal)"
"21","DR1IPROT","Protein (gm)"
"22","DR1ICARB","Carbohydrate (gm)"
"23","DR1ISUGR","Total sugars (gm)"
"24","DR1IFIBE","Dietary fiber (gm)"
"25","DR1ITFAT","Total fat (gm)"
"26","DR1ISFAT","Total saturated fatty acids (gm)"
"27","DR1IMFAT","Total monounsaturated fatty acids (gm)"
"28","DR1IPFAT","Total polyunsaturated fatty acids (gm)"
"29","DR1ICHOL","Cholesterol (mg)"
"30","DR1IATOC","Vitamin E as alpha-tocopherol (mg)"
"31","DR1IATOA","Added alpha-tocopherol (Vitamin E) (mg)"
"32","DR1IRET","Retinol (mcg)"
"33","DR1IVARA","Vitamin A, RAE (mcg)"
"34","DR1IACAR","Alpha-carotene (mcg)"
"35","DR1IBCAR","Beta-carotene (mcg)"
"36","DR1ICRYP","Beta-cryptoxanthin (mcg)"
"37","DR1ILYCO","Lycopene (mcg)"
"38","DR1ILZ","Lutein + zeaxanthin (mcg)"
"39","DR1IVB1","Thiamin (Vitamin B1) (mg)"
"40","DR1IVB2","Riboflavin (Vitamin B2) (mg)"
"41","DR1INIAC","Niacin (mg)"
"42","DR1IVB6","Vitamin B6 (mg)"
"43","DR1IFOLA","Total folate (mcg)"
"44","DR1IFA","Folic acid (mcg)"
"45","DR1IFF","Food folate (mcg)"
"46","DR1IFDFE","Folate, DFE (mcg)"
"47","DR1ICHL","Total choline (mg)"
"48","DR1IVB12","Vitamin B12 (mcg)"
"49","DR1IB12A","Added vitamin B12 (mcg)"
"50","DR1IVC","Vitamin C (mg)"
"51","DR1IVD","Vitamin D (D2 + D3) (mcg)"
"52","DR1IVK","Vitamin K (mcg)"
"53","DR1ICALC","Calcium (mg)"
"54","DR1IPHOS","Phosphorus (mg)"
"55","DR1IMAGN","Magnesium (mg)"
"56","DR1IIRON","Iron (mg)"
"57","DR1IZINC","Zinc (mg)"
"58","DR1ICOPP","Copper (mg)"
"59","DR1ISODI","Sodium (mg)"
"60","DR1IPOTA","Potassium (mg)"
"61","DR1ISELE","Selenium (mcg)"
"62","DR1ICAFF","Caffeine (mg)"
"63","DR1ITHEO","Theobromine (mg)"
"64","DR1IALCO","Alcohol (gm)"
"65","DR1IMOIS","Moisture (gm)"
"66","DR1IS040","SFA 4:0 (Butanoic) (gm)"
"67","DR1IS060","SFA 6:0 (Hexanoic) (gm)"
"68","DR1IS080","SFA 8:0 (Octanoic) (gm)"
"69","DR1IS100","SFA 10:0 (Decanoic) (gm)"
"70","DR1IS120","SFA 12:0 (Dodecanoic) (gm)"
"71","DR1IS140","SFA 14:0 (Tetradecanoic) (gm)"
"72","DR1IS160","SFA 16:0 (Hexadecanoic) (gm)"
"73","DR1IS180","SFA 18:0 (Octadecanoic) (gm)"
"74","DR1IM161","MFA 16:1 (Hexadecenoic) (gm)"
"75","DR1IM181","MFA 18:1 (Octadecenoic) (gm)"
"76","DR1IM201","MFA 20:1 (Eicosenoic) (gm)"
"77","DR1IM221","MFA 22:1 (Docosenoic) (gm)"
"78","DR1IP182","PFA 18:2 (Octadecadienoic) (gm)"
"79","DR1IP183","PFA 18:3 (Octadecatrienoic) (gm)"
"80","DR1IP184","PFA 18:4 (Octadecatetraenoic) (gm)"
"81","DR1IP204","PFA 20:4 (Eicosatetraenoic) (gm)"
"82","DR1IP205","PFA 20:5 (Eicosapentaenoic) (gm)"
"83","DR1IP225","PFA 22:5 (Docosapentaenoic) (gm)"
"84","DR1IP226","PFA 22:6 (Docosahexaenoic) (gm)"
